Passenger Fare,Age,Gender,NumSiblingSpouse,NumParentChild,Survived,Age Group,Gender_num,Embarkation_Country_num,Ticket Class_1,Ticket Class_2,Ticket Class_3,Embarkation Country_C,Embarkation Country_Q,Embarkation Country_S,Ticket Class,Embarkation Country
41.75,8,male,1,1,1,0-18,1,3,0.0,1.0,0.0,0.0,0.0,1.0,2,S
18.0,18,female,0,2,1,0-18,0,3,0.0,1.0,0.0,0.0,0.0,1.0,2,S
20.74,20,male,1,1,1,19-35,1,1,0.0,0.0,1.0,1.0,0.0,0.0,3,C
28.45,30,male,1,2,0,19-35,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
44.6,48,female,1,0,1,36-50,0,1,1.0,0.0,0.0,1.0,0.0,0.0,1,C
40.5,45,male,0,0,0,36-50,1,3,1.0,0.0,0.0,0.0,0.0,1.0,1,S
18.0,30,male,0,0,0,19-35,1,3,0.0,1.0,0.0,0.0,0.0,1.0,2,S
13.05,20,male,0,0,0,19-35,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
78.5,32,male,2,0,0,19-35,1,3,0.0,1.0,0.0,0.0,0.0,1.0,2,S
12.23,20,male,0,0,1,19-35,1,1,0.0,0.0,1.0,1.0,0.0,0.0,3,C
31.0,27,male,0,0,0,19-35,1,3,0.0,1.0,0.0,0.0,0.0,1.0,2,S
12.25,30,male,0,0,0,19-35,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
18.0,24,female,0,0,1,19-35,0,3,0.0,1.0,0.0,0.0,0.0,1.0,2,S
23.75,3,male,1,1,1,0-18,1,3,0.0,1.0,0.0,0.0,0.0,1.0,2,S
12.75,51,male,0,0,0,51-65,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
35.0,30,male,0,0,1,19-35,1,3,1.0,0.0,0.0,0.0,0.0,1.0,1,S
11.44,35,male,0,0,0,19-35,1,1,0.0,0.0,1.0,1.0,0.0,0.0,3,C
517.33,36,male,0,1,1,36-50,1,1,1.0,0.0,0.0,1.0,0.0,0.0,1,C
29.15,10,female,0,2,0,0-18,0,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
44.69,7,male,4,1,0,0-18,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
32.72,40,male,0,0,0,36-50,1,1,1.0,0.0,0.0,1.0,0.0,0.0,1,C
57.0,42,male,1,0,0,36-50,1,3,1.0,0.0,0.0,0.0,0.0,1.0,1,S
158.46,38,male,0,1,0,36-50,1,3,1.0,0.0,0.0,0.0,0.0,1.0,1,S
14.5,20,male,0,0,0,19-35,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
35.0,25,female,1,1,1,19-35,0,3,0.0,1.0,0.0,0.0,0.0,1.0,2,S
12.9,28,male,0,0,0,19-35,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
19.45,45,female,0,1,0,36-50,0,1,0.0,0.0,1.0,1.0,0.0,0.0,3,C
12.13,41,male,0,0,0,36-50,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
12.8,22,male,0,0,0,19-35,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
12.75,71,male,0,0,0,66+,1,2,0.0,0.0,1.0,0.0,1.0,0.0,3,Q
12.65,21,female,0,0,1,19-35,0,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
31.0,46,male,0,0,0,36-50,1,3,0.0,1.0,0.0,0.0,0.0,1.0,2,S
13.66,20,male,0,0,0,19-35,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
24.26,5,female,2,1,1,0-18,0,1,0.0,0.0,1.0,1.0,0.0,0.0,3,C
12.78,22,female,0,0,1,19-35,0,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
13.05,18,male,0,0,1,0-18,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
31.0,29,female,1,0,1,19-35,0,3,0.0,1.0,0.0,0.0,0.0,1.0,2,S
55.5,31,male,0,0,0,19-35,1,3,1.0,0.0,0.0,0.0,0.0,1.0,1,S
12.75,30,male,0,0,0,19-35,1,2,0.0,0.0,1.0,0.0,1.0,0.0,3,Q
12.93,32,male,0,0,1,19-35,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
156.55,22,female,0,0,1,19-35,0,3,1.0,0.0,0.0,0.0,0.0,1.0,1,S
25.58,26,male,1,2,0,19-35,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
54.5,71,male,0,0,0,66+,1,1,1.0,0.0,0.0,1.0,0.0,0.0,1,C
35.5,55,male,0,0,0,51-65,1,3,1.0,0.0,0.0,0.0,0.0,1.0,1,S
12.78,18,male,0,0,0,0-18,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
12.75,30,male,0,0,0,19-35,1,2,0.0,0.0,1.0,0.0,1.0,0.0,3,Q
12.93,31,male,0,0,1,19-35,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
12.23,30,male,0,0,0,19-35,1,1,0.0,0.0,1.0,1.0,0.0,0.0,3,C
12.9,26,male,0,0,0,19-35,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
9.01,20,male,0,0,0,19-35,1,1,0.0,0.0,1.0,1.0,0.0,0.0,3,C
12.23,30,male,0,0,0,19-35,1,1,0.0,0.0,1.0,1.0,0.0,0.0,3,C
5.0,38,male,0,0,0,36-50,1,3,1.0,0.0,0.0,0.0,0.0,1.0,1,S
36.28,6,female,4,2,0,0-18,0,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
18.0,25,male,0,0,0,19-35,1,3,0.0,1.0,0.0,0.0,0.0,1.0,2,S
61.93,30,female,0,0,1,19-35,0,1,1.0,0.0,0.0,1.0,0.0,0.0,1,C
12.23,30,male,0,0,0,19-35,1,1,0.0,0.0,1.0,1.0,0.0,0.0,3,C
12.9,26,male,0,0,0,19-35,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
268.0,24,female,3,2,1,19-35,0,3,1.0,0.0,0.0,0.0,0.0,1.0,1,S
22.8,25,male,1,0,0,19-35,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
12.78,25,male,1,0,1,19-35,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
18.0,52,male,0,0,0,51-65,1,3,0.0,1.0,0.0,0.0,0.0,1.0,2,S
12.8,18,male,0,0,0,0-18,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
12.25,22,male,1,0,0,19-35,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
46.58,22,female,1,2,1,19-35,0,1,0.0,1.0,0.0,1.0,0.0,0.0,2,C
31.0,2,female,1,1,1,0-18,0,3,0.0,1.0,0.0,0.0,0.0,1.0,2,S
35.5,30,male,0,0,1,19-35,1,3,1.0,0.0,0.0,0.0,0.0,1.0,1,S
19.45,27,male,1,0,0,19-35,1,1,0.0,0.0,1.0,1.0,0.0,0.0,3,C
12.5,24,male,0,0,0,19-35,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
13.68,31,female,0,0,1,19-35,0,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
94.1,31,female,1,0,1,19-35,0,1,1.0,0.0,0.0,1.0,0.0,0.0,1,C
14.5,33,male,0,0,0,19-35,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
12.9,30,male,0,0,0,19-35,1,1,0.0,0.0,1.0,1.0,0.0,0.0,3,C
94.1,49,male,1,0,1,36-50,1,1,1.0,0.0,0.0,1.0,0.0,0.0,1,C
125.0,14,female,1,2,1,0-18,0,3,1.0,0.0,0.0,0.0,0.0,1.0,1,S
74.55,30,male,8,2,0,19-35,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
20.74,1,female,0,2,1,0-18,0,1,0.0,0.0,1.0,1.0,0.0,0.0,3,C
14.0,22,male,0,0,0,19-35,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
32.9,4,male,3,2,0,0-18,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
169.87,45,female,1,1,1,36-50,0,3,1.0,0.0,0.0,0.0,0.0,1.0,1,S
15.5,19,male,0,0,0,19-35,1,3,0.0,1.0,0.0,0.0,0.0,1.0,2,S
13.66,27,male,0,0,1,19-35,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
29.0,28,female,1,0,1,19-35,0,1,0.0,1.0,0.0,1.0,0.0,0.0,2,C
13.05,30,male,0,0,0,19-35,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
83.27,54,female,1,0,1,51-65,0,1,1.0,0.0,0.0,1.0,0.0,0.0,1,C
12.75,31,male,0,0,0,19-35,1,2,0.0,0.0,1.0,0.0,1.0,0.0,3,Q
20.25,29,female,0,2,1,19-35,0,1,0.0,0.0,1.0,1.0,0.0,0.0,3,C
12.75,18,male,0,0,0,0-18,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
13.05,34,male,0,0,0,19-35,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
52.1,28,male,0,0,0,19-35,1,3,1.0,0.0,0.0,0.0,0.0,1.0,1,S
27.36,21,female,1,1,1,19-35,0,1,0.0,0.0,1.0,1.0,0.0,0.0,3,C
30.47,21,female,3,1,0,19-35,0,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
18.5,52,male,0,0,0,51-65,1,3,0.0,1.0,0.0,0.0,0.0,1.0,2,S
39.38,21,female,2,2,0,19-35,0,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
41.75,19,male,1,1,0,19-35,1,3,0.0,1.0,0.0,0.0,0.0,1.0,2,S
14.85,20,male,0,0,0,19-35,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
15.5,29,male,0,0,0,19-35,1,3,0.0,1.0,0.0,0.0,0.0,1.0,2,S
31.29,42,male,0,0,1,36-50,1,3,1.0,0.0,0.0,0.0,0.0,1.0,1,S
13.71,30,male,0,0,0,19-35,1,1,0.0,0.0,1.0,1.0,0.0,0.0,3,C
12.75,30,male,1,0,0,19-35,1,2,0.0,0.0,1.0,0.0,1.0,0.0,3,Q
28.45,21,female,1,2,0,19-35,0,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
15.5,62,male,0,0,1,51-65,1,3,0.0,1.0,0.0,0.0,0.0,1.0,2,S
156.55,25,female,1,2,0,19-35,0,3,1.0,0.0,0.0,0.0,0.0,1.0,1,S
13.05,50,male,0,0,0,36-50,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
20.85,24,female,1,0,1,19-35,0,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
13.05,35,male,0,0,0,19-35,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
15.5,16,male,0,0,0,0-18,1,3,0.0,1.0,0.0,0.0,0.0,1.0,2,S
19.46,17,female,0,0,0,0-18,0,1,0.0,0.0,1.0,1.0,0.0,0.0,3,C
26.0,30,female,3,0,1,19-35,0,3,0.0,1.0,0.0,0.0,0.0,1.0,2,S
13.05,44,male,0,0,0,36-50,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
11.95,30,male,0,0,0,19-35,1,2,0.0,0.0,1.0,0.0,1.0,0.0,3,Q
18.0,32,female,0,0,1,19-35,0,3,0.0,1.0,0.0,0.0,0.0,1.0,2,S
58.1,37,male,1,0,0,36-50,1,3,1.0,0.0,0.0,0.0,0.0,1.0,1,S
18.0,34,female,0,0,1,19-35,0,3,0.0,1.0,0.0,0.0,0.0,1.0,2,S
23.0,31,female,1,0,0,19-35,0,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
13.66,17,male,0,0,0,0-18,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
20.25,4,male,1,1,1,0-18,1,1,0.0,0.0,1.0,1.0,0.0,0.0,3,C
12.5,18,female,0,0,1,0-18,0,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
216.34,43,female,0,1,1,36-50,0,3,1.0,0.0,0.0,0.0,0.0,1.0,1,S
11.86,30,male,0,0,0,19-35,1,2,0.0,0.0,1.0,0.0,1.0,0.0,3,Q
5.0,30,male,0,0,0,19-35,1,3,0.0,1.0,0.0,0.0,0.0,1.0,2,S
12.9,40,male,0,0,0,36-50,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
61.5,30,male,0,0,0,19-35,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
13.05,26,male,0,0,0,19-35,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
35.5,27,male,0,0,1,19-35,1,3,1.0,0.0,0.0,0.0,0.0,1.0,1,S
18.0,36,female,0,0,1,36-50,0,3,0.0,1.0,0.0,0.0,0.0,1.0,2,S
24.26,1,female,2,1,1,0-18,0,1,0.0,0.0,1.0,1.0,0.0,0.0,3,C
21.1,29,male,0,0,0,19-35,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
26.0,29,male,1,0,0,19-35,1,3,0.0,1.0,0.0,0.0,0.0,1.0,2,S
115.88,39,female,1,1,1,36-50,0,1,1.0,0.0,0.0,1.0,0.0,0.0,1,C
35.5,52,male,0,0,1,51-65,1,3,1.0,0.0,0.0,0.0,0.0,1.0,1,S
35.7,30,male,0,0,0,19-35,1,1,1.0,0.0,0.0,1.0,0.0,0.0,1,C
12.8,21,male,0,0,1,19-35,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
31.0,26,female,1,1,0,19-35,0,3,0.0,1.0,0.0,0.0,0.0,1.0,2,S
21.1,30,male,1,0,0,19-35,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
28.0,4,female,1,1,1,0-18,0,3,0.0,1.0,0.0,0.0,0.0,1.0,2,S
15.5,24,male,0,0,0,19-35,1,3,0.0,1.0,0.0,0.0,0.0,1.0,2,S
31.55,35,male,0,0,1,19-35,1,1,1.0,0.0,0.0,1.0,0.0,0.0,1,C
34.13,4,male,4,1,0,0-18,1,2,0.0,0.0,1.0,0.0,1.0,0.0,3,Q
31.55,56,male,0,0,0,51-65,1,3,1.0,0.0,0.0,0.0,0.0,1.0,1,S
81.73,49,female,1,0,1,36-50,0,1,1.0,0.0,0.0,1.0,0.0,0.0,1,C
56.48,53,female,2,0,1,51-65,0,3,1.0,0.0,0.0,0.0,0.0,1.0,1,S
12.93,20,male,1,0,1,19-35,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
31.0,2,male,1,1,1,0-18,1,3,0.0,1.0,0.0,0.0,0.0,1.0,2,S
18.0,24,female,0,0,0,19-35,0,3,0.0,1.0,0.0,0.0,0.0,1.0,2,S
35.0,80,male,0,0,1,66+,1,3,1.0,0.0,0.0,0.0,0.0,1.0,1,S
13.05,29,male,0,0,0,19-35,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
267.38,21,female,2,2,1,19-35,0,1,1.0,0.0,0.0,1.0,0.0,0.0,1,C
11.75,18,female,0,0,0,0-18,0,2,0.0,0.0,1.0,0.0,1.0,0.0,3,Q
62.0,17,female,1,0,1,0-18,0,3,1.0,0.0,0.0,0.0,0.0,1.0,1,S
12.75,21,female,0,0,1,19-35,0,2,0.0,0.0,1.0,0.0,1.0,0.0,3,Q
19.45,26,male,1,0,0,19-35,1,1,0.0,0.0,1.0,1.0,0.0,0.0,3,C
12.9,28,female,0,0,0,19-35,0,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
18.0,36,female,0,0,1,36-50,0,3,0.0,1.0,0.0,0.0,0.0,1.0,2,S
13.65,33,male,0,0,0,19-35,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
31.0,44,male,1,0,0,36-50,1,3,0.0,1.0,0.0,0.0,0.0,1.0,2,S
12.05,20,male,0,0,0,19-35,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
12.25,30,male,0,0,0,19-35,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
12.93,25,female,1,0,0,19-35,0,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
18.0,28,female,0,0,1,19-35,0,3,0.0,1.0,0.0,0.0,0.0,1.0,2,S
19.46,30,male,0,0,0,19-35,1,1,0.0,0.0,1.0,1.0,0.0,0.0,3,C
156.55,2,female,1,2,0,0-18,0,3,1.0,0.0,0.0,0.0,0.0,1.0,1,S
13.66,26,male,2,0,0,19-35,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
19.4,34,male,1,1,0,19-35,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
61.5,32,male,0,0,1,19-35,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
13.05,32,male,0,0,1,19-35,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
156.55,1,male,1,2,1,0-18,1,3,1.0,0.0,0.0,0.0,0.0,1.0,1,S
76.28,38,female,1,0,1,36-50,0,1,1.0,0.0,0.0,1.0,0.0,0.0,1,C
12.79,21,female,0,0,1,19-35,0,2,0.0,0.0,1.0,0.0,1.0,0.0,3,Q
32.75,30,male,0,0,0,19-35,1,1,1.0,0.0,0.0,1.0,0.0,0.0,1,C
12.75,30,male,0,0,0,19-35,1,2,0.0,0.0,1.0,0.0,1.0,0.0,3,Q
95.0,44,male,2,0,0,36-50,1,2,1.0,0.0,0.0,0.0,1.0,0.0,1,Q
28.0,18,female,0,1,1,0-18,0,3,0.0,1.0,0.0,0.0,0.0,1.0,2,S
18.0,39,male,0,0,0,36-50,1,3,0.0,1.0,0.0,0.0,0.0,1.0,2,S
12.93,27,female,0,0,1,19-35,0,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
35.07,33,male,1,0,0,19-35,1,1,0.0,1.0,0.0,1.0,0.0,0.0,2,C
32.9,40,male,1,4,0,36-50,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
32.9,9,female,3,2,0,0-18,0,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
18.0,27,male,0,0,0,19-35,1,3,0.0,1.0,0.0,0.0,0.0,1.0,2,S
5.0,25,male,0,0,1,19-35,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
12.05,24,male,0,0,0,19-35,1,3,0.0,0.0,1.0,0.0,0.0,1.0,3,S
